,City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,cape town,za,-42.57256923732206,10.353217535808,61.36,95,0,14.63
1,port elizabeth,za,-86.87288804916254,33.98414627543315,66.04,100,76,26.6
3,beboto,td,8.126902352897346,17.159495790471055,75.94,78,24,8.93
4,tuktoyaktuk,ca,85.82266249175157,-129.76614960976994,13.48,100,0,6.76
5,punta arenas,cl,-84.98773364235444,-122.54390689770011,41.29,100,64,11.79
6,albany,au,-84.80829784427009,115.29832494819408,58.21,61,92,15.08
7,mbandaka,cd,-0.47389373292132575,17.69404739418448,77.2,91,8,4.12
8,kapaa,us,17.342801428645885,-163.87036443664638,75.58,80,92,5.12
10,homer,us,61.49640390198687,-156.04112764766532,39.31,89,64,6.24
11,ushuaia,ar,-89.89010099082643,-20.53783506046392,27.7,100,32,4.79
12,henties bay,na,-21.692193611303438,14.568657012496885,63.7,98,48,4
13,severo-kurilsk,ru,37.0102734411373,164.30930038534638,33.46,96,36,6.24
14,ambatofinandrahana,mg,-20.291486411368524,46.173530475158174,45.7,88,36,2.28
15,vaini,to,-70.58905836441309,-172.45159971547739,76.12,100,8,13.4
16,beloha,mg,-28.96034402212824,42.76096402560111,71.8,55,32,9.89
18,chuy,uy,-58.651920630075196,-23.66057105908658,66.4,97,92,16.15
19,antipovka,ru,49.76696486498366,44.95542715864093,55.6,44,0,6.64
23,bethel,us,44.51076018695784,-168.83197526758653,40.12,72,76,4.63
26,marrakesh,ma,32.151997052536174,-7.518948503350742,47.32,66,0,4.12
27,tekeli,kz,44.313739052057,79.16040271765775,37.51,83,0,1.77
29,okha,ru,53.77148426820014,142.66086223349834,36.34,84,0,3.06
30,myitkyina,mm,26.81554307885864,98.631297083162,70,89,12,2.62
31,nanortalik,gl,59.749620122586464,-41.59802650132383,24.46,100,12,24.36
32,fort nelson,ca,61.48379308426368,-121.79450574578703,55.24,34,88,9.89
33,yulara,au,-28.10347727725693,125.59402677110387,70.9,45,80,14.63
34,armeria,mx,17.912091088667324,-104.51668281585367,85.57,43,92,5.12
36,tongliao,cn,43.760053006833004,121.4514872867939,55.96,42,0,13.4
38,butaritari,ki,23.625727996393877,164.42273596419324,83.41,100,32,9.93
39,atuona,pf,-8.129398518438265,-134.03240339886065,78.1,100,88,11.56
43,coro,ve,11.2259508398854,-69.42868855539326,81.16,79,68,10.78
45,viedma,ar,-40.966111774356264,-62.09868030681079,56.32,81,80,13.85
46,kaitangata,nz,-69.60308080158607,175.43472855178567,55.06,90,36,4.63
47,rikitea,pf,-54.021975068840774,-115.91809412201124,74.5,100,80,8.93
50,tasiilaq,gl,84.38905278997274,-35.397913245908654,27.43,94,76,28.5
53,aklavik,ca,67.07818444196613,-140.79831066554058,24.73,100,48,4.9
54,busselton,au,-38.85390718767358,87.36619453960458,62.71,100,56,14.85
55,mahebourg,mu,-38.49179257936596,77.64712608622744,75.67,77,80,12.06
57,saint-philippe,re,-38.071976736696215,60.99443691150361,76.21,100,56,15.86
58,saskylakh,ru,86.6610392213633,119.79238381471271,7.9,89,36,9.44
59,pevek,ru,89.44030557207074,166.46398476403334,23.29,99,0,9.33
60,muros,es,44.55724749970088,-18.182057294488686,53.98,100,68,6.58
61,tabou,ci,0.2511457025580057,-6.423246513922635,82.96,99,32,8.81
62,ustka,pl,55.53266625630988,16.701761247282633,47.86,94,92,13.13
63,upernavik,gl,83.2782225001879,-52.71529893283079,8.35,100,12,7.92
64,kerman,ir,29.596564978780407,57.32755594072205,45.16,74,32,2.77
65,flinders,au,-29.61743294746944,131.87408946432788,67.39,74,0,3.85
66,ypsonas,cy,33.232467629310776,32.53753442798583,57.13,76,36,3.62
67,dikson,ru,80.86440041588136,88.07970467137886,15.55,96,80,25.21
68,komsomolskiy,ru,70.30518632054446,174.56640485692685,-4.43,53,8,3.11
71,georgetown,sh,-3.579577462456001,-18.552710355864605,80.17,100,48,13.91
72,mar del plata,ar,-54.25512107596194,-50.62110428212466,54.25,68,68,13.91
74,ancud,cl,-40.54155151264916,-80.1014338393509,52,87,92,8.77
75,bluff,nz,-75.73595526909594,167.97931018958604,55.06,94,88,13.47
76,torbay,ca,42.667436373863296,-46.55859913461117,42.1,75,32,16.42
78,jamestown,sh,-10.444890060528977,-7.534904774125323,74.05,100,92,14.47
79,san patricio,mx,11.168486521833259,-108.17283811198591,86.65,53,68,6.02
80,chandbali,in,20.636501048171567,86.9921166041758,82.15,100,36,10.94
83,surt,ly,30.576872891318516,17.672115516417307,65.95,85,0,18.84
84,barrow,us,80.59745146288674,-167.68801263653702,82.4,51,1,11.41
85,katsuura,jp,20.211590911331612,148.4226604149598,59.65,78,0,14.92
88,madarounfa,ne,13.036260879689536,6.760926631193655,82.78,52,0,11.12
90,ishigaki,jp,26.304907942161435,123.68278784291283,74.95,100,92,25.7
91,ostrovnoy,ru,76.15157985893154,40.01869778275912,13.48,75,0,3
92,puerto ayora,ec,-2.792842636552521,-93.41387142640053,78.73,93,0,11.95
94,bredasdorp,za,-59.74526897206758,24.694280301468467,63.16,90,44,11.68
98,souillac,mu,-22.939113496346238,58.8509261054451,75.67,77,80,12.06
99,plettenberg bay,za,-46.53326710796989,24.444415986791995,62.8,95,64,14.41
100,narsaq,gl,84.83838714024841,-63.24207907481494,7,79,0,9.78
101,namatanai,pg,8.357609986002558,159.4688243618824,84.13,99,12,7.31
102,cidreira,br,-42.941097644968295,-33.27714308556054,70.45,84,68,17.31
103,castro,cl,-45.86814406852414,-91.87139961341994,49.84,94,88,9.78
105,port augusta,au,-29.14967469586913,139.11735574522015,61.81,86,92,11.34
107,sao filipe,cv,15.565236017982173,-25.924996210883847,70.63,98,12,18.21
111,qaanaaq,gl,82.04200693235313,-90.35801985331358,0.16,72,0,0.6
112,havelock,us,34.827190050023404,-76.82403185588774,69.73,66,0,11.16
113,pochutla,mx,6.93892874555435,-96.88908951873175,83.59,99,8,2.84
114,kavaratti,in,9.435904315001736,70.95495509719979,84.13,100,36,4.29
115,ewo,cg,-0.37873758086551845,14.490672279466821,71.98,96,32,4.52
116,pringsewu,id,-6.915771149872654,103.64600731056925,73.33,83,0,0.98
119,sinnamary,gf,16.912526616154352,-44.99366104189053,79.99,95,92,11.83
122,bathsheba,bb,21.98989966374451,-47.189249698659296,79.63,99,92,19.84
123,walvis bay,na,-24.42466612543899,11.04637082827594,64.6,100,8,10.16
124,juan lacaze,uy,-34.48715638808415,-57.415325007651106,63.79,96,76,6.24
125,anchorage,us,60.73276535578114,-149.36421105210286,40.84,69,44,3.06
126,hilo,us,16.89959538930721,-150.3347922065903,76.57,100,88,11.27
128,san cristobal,ec,-1.8994231475685979,-87.0098695609036,64.15,100,88,1.77
130,nikolskoye,ru,46.80985805803991,176.72334140965484,41.38,91,0,7.92
133,rundu,na,-16.739848210672406,20.974167299835926,57.31,48,0,6.42
